,tweet_id,favorites,retweet_count
0,892420643555336193,33726,6979
1,892177421306343426,29256,5280
2,891815181378084864,21990,3466
3,891689557279858688,36820,7201
4,891327558926688256,35214,7723
5,891087950875897856,17760,2590
6,890971913173991426,10340,1649
7,890729181411237888,56705,15698
8,890609185150312448,24457,3605
9,890240255349198849,27874,6083
10,890006608113172480,26972,6121
11,889880896479866881,24500,4145
12,889665388333682689,41920,8314
13,889638837579907072,23605,3702
14,889531135344209921,13319,1874
15,889278841981685760,22052,4427
16,888917238123831296,25552,3747
17,888804989199671297,22404,3518
18,888554962724278272,17269,2868
19,888078434458587136,19116,2886
20,887705289381826560,26554,4522
21,887517139158093824,40611,9821
22,887473957103951883,60029,14976
23,887343217045368832,29516,8789
24,887101392804085760,26916,4975
25,886983233522544640,30278,6294
26,886736880519319552,10466,2620
27,886680336477933568,19678,3724
28,886366144734445568,18502,2615
29,886267009285017600,105,4
30,886258384151887873,24461,5262
31,886054160059072513,0,93
32,885984800019947520,28531,5592
33,885528943205470208,31519,5312
34,885518971528720385,17965,3100
35,885311592912609280,0,15387
36,885167619883638784,19204,3655
37,884925521741709313,67095,14961
38,884876753390489601,24321,4648
39,884562892145688576,21262,3897
40,884441805382717440,23803,4779
41,884247878851493888,63086,16850
42,884162670584377345,17907,2496
43,883838122936631299,19114,2850
44,883482846933004288,40089,8232
45,883360690899218434,19897,3061
46,883117836046086144,32422,5513
47,882992080364220416,20930,3232
48,882762694511734784,24722,4082
49,882627270321602560,24545,5047
50,882268110199369728,39083,9592
51,882045870035918850,25658,4070
52,881906580714921986,21395,2842
53,881666595344535552,44436,8923
54,881633300179243008,113,8
55,881536004380872706,43332,13358
56,881268444196462592,20440,4486
57,880935762899988482,15006,2329
58,880872448815771648,18675,3193
59,880465832366813184,24959,5198
60,880221127280381952,23600,3455
61,880095782870896641,24260,3638
62,879862464715927552,19658,2915
63,879674319642796034,282,9
64,879492040517615616,20662,2623
65,879415818425184262,92608,37309
66,879376492567855104,14822,2637
67,879130579576475649,0,5716
68,879050749262655488,19768,3939
69,879008229531029506,16744,2233
70,878776093423087618,17096,3422
71,878604707211726852,26373,5907
72,878404777348136964,0,1074
73,878316110768087041,0,5508
74,878281511006478336,6763,1074
75,878057613040115712,37056,5716
76,877736472329191424,69103,15747
77,877611172832227328,0,70
78,877556246731214848,19848,3158
79,877316821321428993,24083,4328
80,877201837425926144,23807,4609
81,876838120628539392,18178,2796
82,876537666061221889,21007,3963
83,876484053909872640,16519,1992
84,876120275196170240,24634,3892
85,875747767867523072,22051,3572
86,875144289856114688,19383,4136
87,875097192612077568,24195,5100
88,875021211251597312,22500,3957
89,874680097055178752,24545,3908
90,874434818259525634,0,12171
91,874296783580663808,22903,3472
92,874057562936811520,20064,3368
93,874012996292530176,30048,8564
94,873580283840344065,21336,3334
95,873337748698140672,0,1326
96,873213775632977920,6305,1326
97,872967104147763200,24006,4546
98,872820683541237760,13046,3159
99,872620804844003328,18271,3059
100,872486979161796608,36027,7694
101,872122724285648897,30139,6811
102,871879754684805121,33002,9214
103,871762521631449091,17842,2959
104,871515927908634625,17859,2928
105,871166179821445120,0,4880
106,871102520638267392,18502,4662
107,871032628920680449,20114,3215
108,870804317367881728,29725,5270
109,870726314365509632,105,3
110,870656317836468226,10869,2193
111,870374049280663552,73790,22682
112,870308999962521604,19436,3539
113,870063196459192321,32336,7053
114,869772420881756160,37924,8666
115,869702957897576449,24986,5367
116,869596645499047938,14159,2630
117,869227993411051520,18092,3192
118,868880397819494401,57818,12215
119,868639477480148993,0,1745
120,868622495443632128,23589,4448
121,868552278524837888,8945,1745
122,867900495410671616,21553,3556
123,867774946302451713,30206,6232
124,867421006826221569,14313,2110
125,867072653475098625,0,101
126,867051520902168576,28637,6760
127,866720684873056260,17826,4123
128,866686824827068416,17083,2957
129,866450705531457537,108599,30096
130,866334964761202691,46472,12171
131,866094527597207552,0,7142
132,865718153858494464,22872,4824
133,865359393868664832,23547,4274
134,865006731092295680,24992,6642
135,864873206498414592,28788,7482
136,864279568663928832,13046,2573
137,864197398364647424,26591,7561
138,863907417377173506,18401,3581
139,863553081350529029,13644,3617
140,863471782782697472,0,2087
141,863432100342583297,21249,4545
142,863427515083354112,1956,80
143,863079547188785154,7883,950
144,863062471531167744,7507,2087
145,862831371563274240,17192,4450
146,862722525377298433,15308,3081
147,862457590147678208,18234,4233
148,862096992088072192,66123,19926
149,861383897657036800,32210,9241
150,861288531465048066,15317,3579
151,861005113778896900,14959,3322
152,860981674716409858,0,1852
153,860924035999428608,0,676
154,860563773140209665,6709,1852
155,860524505164394496,21207,4591
156,860276583193509888,16545,3058
157,860184849394610176,14980,5109
158,860177593139703809,0,26652
159,859924526012018688,17593,3573
160,859851578198683649,13955,3062
161,859607811541651456,16804,1361
162,859196978902773760,80362,26197
163,859074603037188101,30367,11930
164,858860390427611136,0,7062
165,858843525470990336,14094,3018
166,858471635011153920,19437,4247
167,858107933456039936,14209,2535
168,857989990357356544,14466,2261
169,857746408056729600,30743,9323
170,857393404942143489,5296,1438
171,857263160327368704,18216,3965
172,857214891891077121,203,16
173,857062103051644929,0,146
174,857029823797047296,17014,3477
175,856543823941562368,14807,2539
176,856526610513747968,10802,1651
177,856288084350160898,488,15
178,856282028240666624,25185,5566
179,855862651834028034,303,21
180,855860136149123072,4400,851
181,855857698524602368,10840,1854
182,855851453814013952,41847,16096
183,855818117272018944,24234,4803
184,855459453768019968,27040,7291
185,855245323840757760,0,5254
186,855138241867124737,0,36
187,854732716440526848,20644,5336
188,854482394044301312,26524,6006
189,854365224396361728,17164,4136
